created,text,retwc,hashtag,followers,friends
2021-06-10 14:32:35,"b""RT @CINEMA505: Harry Potter and the Philosopher's Stone (2001) https://t.co/U68whSQJTc""",154,None,95,181
2021-06-10 14:32:29,"b""@guysmiley22 I think most of the harry potter actors have explicitly come out as supporting trans people, if that's\xe2\x80\xa6 https://t.co/HPmKSvKf4i""",0,None,2122,801
2021-06-10 14:32:24,b'RT @ZeusTheGawd: I woulda killed Harry Potter for a stack... Voldemort never hit me up though',1,None,1373,825
2021-06-10 14:32:22,"b""@realeverywriter my dad read Harry Potter to me. All 4 first book. By then, the 5th one wasn't out and I was old en\xe2\x80\xa6 https://t.co/NHabTgJBHQ""",0,None,78,189
2021-06-10 14:32:17,b'@NoContextBrits @joespacerogers Looks like snape and Harry Potter',0,None,134,368
2021-06-10 14:32:15,"b""@Wolvie616 @MightyKeef It hasn't outsold Harry Potter. It's close tho""",0,None,15,919
2021-06-10 14:32:14,"b'RT @justboogs: ""@ZeusTheGawd: I woulda killed Harry Potter for a stack... Voldemort never hit me up though""Lmao'",2,None,1373,825
2021-06-10 14:31:58,b'@goodreads Harry Potter Series',0,None,8,24
2021-06-10 14:31:53,"b'RT @rowlinglibrary: \xf0\x9f\x93\xa2 Publication Day! \xf0\x9f\x8e\x89\xf0\x9f\xa5\xb3\n\nFour years ago, Bloomsbury started to publish the Hogwarts Houses Editions. They are releasing t\xe2\x80\xa6'",20,None,5,138
2021-06-10 14:31:53,b'@KaylaChowShow Harry Potter and the Sorceror\xe2\x80\x99s Squirts',0,None,1408,199
2021-06-10 14:31:51,b'RT @artblvnk: Harry just being Mr. Potter https://t.co/f37QKB0NIv',25,None,2497,4266
2021-06-10 14:31:42,"b'RT @ZeusTheGawd: Harry Potter makes me so mad son, I would have been killed this nigga Voldemort'",1,None,1373,825
2021-06-10 14:31:42,b'who\xe2\x80\x99s gonna come to sweegs to watch harry potter with me ? surround system included \xf0\x9f\x98\x9c',0,None,126,305
2021-06-10 14:31:37,"b""RT @ZeusTheGawd: It bothers me that nobody tried to shoot Lord Voldemort in Harry Potter. It's gotta be hard to cast a spell with a bullet\xe2\x80\xa6""",1,None,1373,825
2021-06-10 14:31:35,"b'RT @dora_t0nks: as representatividades em Harry Potter, \na thread! https://t.co/bcdqSrAFP6'",1037,None,1404,1538
2021-06-10 14:31:32,"b'The Harry Potter archetypes will always be my favorite interpretation of ""The Hero\'s Journey"" but George Lucas did\xe2\x80\xa6 https://t.co/2vjlkyZ4eD'",0,None,218,561
2021-06-10 14:31:27,b'Harry Potter \xe2\x9a\xa1\xef\xb8\x8f\n https://t.co/ySdSWddkd8',0,None,629,610
2021-06-10 14:31:20,b'RT @ZeusTheGawd: Hear me out for one second... if I was Harry Potter I would have shot Voldemort. He would have never expected a bullet in\xe2\x80\xa6',1,None,1373,825
2021-06-10 14:31:15,"b""Harry Potter And The Philosopher's Stone. \xf0\x9f\x8e\xa5 https://t.co/YjyEZVDbsw""",0,None,985,161
2021-06-10 14:31:13,"b""RT @ZeusTheGawd: Bro I'm watching Harry Potter and Voldemort pussy""",1,None,1373,825
2021-06-10 14:31:08,b'RT @TweetYukiTweet: Remember when Junta added a video file in a newspaper \xf0\x9f\x99\x82\nHarry Potter? who? https://t.co/sSSzoM6VK6',26,None,14,74
2021-06-10 14:30:56,b'@AkilahFoodie Things I\xe2\x80\x99m always making time for:\n\n- chicken wings/tenders\n- slandering Harry Potter and Dumbledore',0,None,1333,1393
2021-06-10 14:30:55,"b'Wait, would Harry Potter\'s ""magic"" be considered sihr, since by definition sihr is utilizing the magic/power of t\xe2\x80\xa6\xe2\x80\xa6 https://t.co/Kyuql0QM2B'",0,None,2709,480
2021-06-10 14:30:44,"b'RT @dora_t0nks: as representatividades em Harry Potter, \na thread! https://t.co/bcdqSrAFP6'",1037,None,1170,1521
2021-06-10 14:30:21,"b'RT @MuggleNet: ""It is my belief... that the truth is generally preferable to lies."" - Albus Dumbledore, ""Harry Potter and the Goblet of Fir\xe2\x80\xa6'",6,None,21,50
2021-06-10 14:30:05,"b""RT @MuggleNet: There's so much to learn about what happened behind the scenes during the filming of the #Potter movie franchise. Take a loo\xe2\x80\xa6""",3,Potter,21,50
2021-06-10 14:30:03,"b'RT @IndieWire: Harry Melling, best known as Dudley from the Harry Potter franchise and for ""The Queen\'s  Gambit,"" is set to play a young Ed\xe2\x80\xa6'",71,None,89,110
2021-06-10 14:29:58,b'RT @jidebam: Harry Potter when they told him that he shouldn\xe2\x80\x99t say the name Voldemort. https://t.co/HZi3fyrxY7',14,None,2062,1971
2021-06-10 14:29:39,"b'#Bio #Updated \n\nBio updated , first line apke mein chori ki hain bhai @memenist_ , last line Dumbledore (Harry potter) se'",0,Bio,1319,2787
2021-06-10 14:29:39,b'@Nezziemonster_M Are we gonna have to binge Harry Potter?',0,None,119,316
